,title,domestic_gross,foreign_gross,year
818,The Cabin in the Woods,42100000.0,The Cabin in the Woods,2012
819,Beauty and the Beast (3D),47600000.0,Beauty and the Beast (3D),2012
820,Rock of Ages,38500000.0,Rock of Ages,2012
821,That's My Boy,36900000.0,That's My Boy,2012
822,The Odd Life of Timothy Green,51900000.0,The Odd Life of Timothy Green,2012
823,The Three Stooges,44300000.0,The Three Stooges,2012
824,The Five-Year Engagement,28800000.0,The Five-Year Engagement,2012
825,Lawless,37400000.0,Lawless,2012
826,Silent Hill: Revelation 3D,17500000.0,Silent Hill: Revelation 3D,2012
827,Red Tails,49900000.0,Red Tails,2012
828,"Monsters, Inc. (3D)",34000000.0,"Monsters, Inc. (3D)",2012
829,Trouble with the Curve,35800000.0,Trouble with the Curve,2012
830,Little White Lies,206000.0,Little White Lies,2012
831,End of Watch,41000000.0,End of Watch,2012
832,Man on a Ledge,18600000.0,Man on a Ledge,2012
833,Red Dawn (2012),44800000.0,Red Dawn (2012),2012
834,House at the End of The Street,31600000.0,House at the End of The Street,2012
835,The Guilt Trip,37100000.0,The Guilt Trip,2012
836,A Werewolf Boy,343000.0,A Werewolf Boy,2012
837,Safe (2012),17100000.0,Safe (2012),2012
838,Killing Them Softly,15000000.0,Killing Them Softly,2012
839,Chernobyl Diaries,18100000.0,Chernobyl Diaries,2012
840,One For the Money,26400000.0,One For the Money,2012
841,Dredd,13400000.0,Dredd,2012
842,Tyler Perry's Good Deeds,35000000.0,Tyler Perry's Good Deeds,2012
843,Arbitrage,7900000.0,Arbitrage,2012
844,Chimpanzee,29000000.0,Chimpanzee,2012
845,Alex Cross,25900000.0,Alex Cross,2012
846,Salmon Fishing in the Yemen,9000000.0,Salmon Fishing in the Yemen,2012
847,Fetih 1453: The Conquest of Constantinople,35700.0,Fetih 1453: The Conquest of Constantinople,2012
